,Bi_Grams,Freq
2872,نکلا سو,3
2873,سو پریشاں,3
5628,کہیں گے,3
13444,تیری زندگی,3
2902,آساں نکلا,3
2901,بھی آساں,3
2900,کام بھی,3
2899,یہ کام,3
2897,سخت مشکل,3
2896,پسند سخت,3
2895,دشوار پسند,3
5630,یاد نہیں,3
2889,دنداں نکلا,3
2874,پریشاں نکلا,3
1345,ہی نہیں,3
2888,و دنداں,3
2887,لب و,3
2885,کا بہ,3
2884,یاروں کا,3
2883,کام یاروں,3
2882,درد کام,3
2878,زدہ تھا,3
2877,حسرت زدہ,3
11235,میں لے,3
3076,کی گرمی,3
3249,یعنی ہم,3
3181,پایا دل,3
6280,ہے مجھ,3
3218,و پرکاری,3
3217,سادگی و,3
3216,پایا سادگی,3
1524,دل بے,3
3213,دیکھی نالہ,3
3212,اثر دیکھی,3
3210,آہ بے,3
10224,ہوتا نہ,3
10231,کو ہونے,3
3209,معلوم آہ,3
3208,دل معلوم,3
3205,دشمن ہے,3
6932,سے آتی,3
1521,گل کے,3
1520,برگ گل,3
3193,زیست کا,3
3191,طبیعت نے,3
3190,سے طبیعت,3
3188,پایا عشق,3
3185,گم کیجے,3
3222,و ہشیاری,3
3223,ہشیاری حسن,3
3224,حسن کو,3
3238,دل خوں,3
3248,قدر یعنی,3
3247,لیکن اس,3
3246,معلوم لیکن,3
11421,باد صبا,3
3244,ہوا پایا,3
3243,گم کیا,3
3242,دیکھا گم,3
3241,ہوا دیکھا,3
3239,خوں کیا,3
3237,اپنا دل,3
3225,کو تغافل,3
3236,نے اپنا,3
3235,آج ہم,3
5529,نہیں کہ,3
5797,دو کہ,3
3232,پھر لگا,3
3231,غنچہ پھر,3
5794,آنکھوں سے,3
3230,پایا غنچہ,3
3228,جرأت آزما,3
3184,کہ گم,3
10254,ہوئی مدت,3
3078,کہاں کچھ,3
10255,مدت کہ,3
1492,کو پر,3
2789,جلوۂ گل,3
1487,جانتے تھے,3
14195,فقط مستی,3
1486,کم جانتے,3
1485,تھا کم,3
1167,خون جگر,3
13357,کر کے,3
16650,ملت کے,3
1484,آب دار,3
1483,تیغ آب,3
5552,دن کو,3
1176,جائے گی,3
1478,حال ہر,3
1181,ہم پہ,3
5726,خاک میں,3
13364,تیری تو,3
3084,کہ صحرا,3
5720,لالہ و,3
3081,آیا تھا,3
5556,باد نہیں,3
1493,پر اب,3
3109,دنیا جل,3
1494,اب دیکھا,3
14235,و شام,3
